00-91	AMASync1	AMANDA_SYNC_DOM	1e5b72775d19
06-19	UP7Y4694	Cranium	21d4a4305055
06-20	TP8P3117	Harp_Seal	d479e1b14b99
06-21	UP7Y4776	Mandibula	6d37ebc4faab
06-22	TP7Y4877	Ijon_Tichy	fa3a64e2e4dd
06-23	UP7Y4502	Linguistix	4adaf4b1cd1a
06-24	TP7Y4505	Acidenitrix	7031624cff0e
06-25	UP7H8062	Vaterbom	efecee1d90a3
06-26	TP7P2427	Wurlitzer_Radio	34265cda8f8b
06-27	UP7Y4580	Aulerci	736d3f9aa768
06-28	TP7Y4521	Oceanonix	4de5eb1e543e
06-29	UP7Y4628	Yegor	323d90a1c59f
06-30	TP7Y4539	Garumni	d45104a36aaa
06-31	UP7Y4536	Mineralogix	65f84c977c09
06-32	TP7Y4497	Plaindetix	f9c1f208830f
06-33	UP7Y4530	Asterix	5562619654da
06-34	TP7Y4501	Cetautomatix	fbb3f4e56145
06-35	UP7Y4566	Catuvellauni	7032848adf4c
06-36	TP7Y4499	Changeledix	812d7fccae45
06-37	UP7Y4862	Around_The_Moon	5f61a816cf4e
06-38	TP7Y4779	Cyclura_Ricordi	57bba7d1843d
06-39	UP7Y4832	La_Forza_Del_Destino	7c1db460f8fb
06-40	TP7Y4485	Prefix	f087a61d45a7
06-41	UP7Y4858	Ermione	796bbf41cea5
06-42	TP7Y4821	La_Gazzetta	450d5ba99ddb
06-43	UP7Y4804	Turandot	917eed4d41d0
06-44	TP7Y4873	Norby	44e3ee23beef
06-45	UP7Y4908	Imperial_Earth	e0cc699cbbb4
06-46	TP7Y4869	Doctor_Who	9b0112d4d5a1
06-47	UP7P2346	The_Ryan_Express	71720133f471
06-48	TP7Y4849	Propeller_Island	9037b8777c5f
06-49	UP7Y4666	Saveliy	39ef240fb8f2
06-50	TP7Y4855	Hitchhikers_Guide	29b6f0c5b1cb
06-51	UP7P2348	Mr_October	b695843b1b34
06-52	TP7P2339	The_Peerless_Leader	1aa327cdc3bf
06-53	UP7Y4900	A_Perfect_Vacuum	7c6a5c9a02d0
06-54	TP7P2465	Soccer	dbd9e01dbe87
06-55	UP7P2360	Iron_Horse	2c636c9f26d6
06-56	TP7P2361	El_Guapo	546473c4a769
06-57	UP7P2420	Thomas_Edison_Radio	14be7315773c
06-58	TP7Y4843	Nemesis	f76fb0640be5
06-59	UP7P2358	The_Christian_Gentleman	f1a9c4273cd5
06-60	TP7P2359	Wee_Willie	a263992c5e85
06-61	AP7P2025	Toes	0d5f2aaa6a9f
06-62	AP6H7581	Blodpudding	763096c161ce
06-63	AP7P2019	Leg	a803d0f5a2fb
06-64	AP6H7755	Lax	53e98b9c9f9c
07-01	UP8P3632	Stratego	03fb70e4f234
07-02	TP9P3817	Stoatshead_Hill	9c398e4e9958
