NLAYER 130
NWVL 30 300 10
LAYER -670 -660
SCAT 0.0426 0.0415 0.0404 0.0394 0.0384 0.0375 0.0367 0.0358 0.0350 0.0343 0.0336 0.0329 0.0323 0.0316 0.0310 0.0305 0.0299 0.0294 0.0289 0.0284 0.0279 0.0275 0.0270 0.0266 0.0262 0.0258 0.0254 0.0250 0.0247 0.0243 
COS 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 
N_GROUP 1.3968 1.3915 1.3864 1.3816 1.3770 1.3726 1.3685 1.3647 1.3611 1.3577 1.3546 1.3517 1.3490 1.3466 1.3444 1.3424 1.3406 1.3390 1.3375 1.3362 1.3351 1.3340 1.3331 1.3322 1.3314 1.3306 1.3298 1.3289 1.3280 1.3270 
N_PHASE 1.3330 1.3310 1.3291 1.3274 1.3259 1.3245 1.3232 1.3220 1.3209 1.3199 1.3190 1.3181 1.3174 1.3166 1.3160 1.3154 1.3148 1.3143 1.3137 1.3133 1.3128 1.3124 1.3120 1.3116 1.3112 1.3108 1.3105 1.3102 1.3098 1.3095 
LAYER -610 -600
ABS 0.0067 0.0064 0.0062 0.0060 0.0058 0.0057 0.0056 0.0054 0.0054 0.0054 0.0054 0.0055 0.0058 0.0062 0.0067 0.0076 0.0087 0.0102 0.0121 0.0146 0.0178 0.0219 0.0269 0.0331 0.0406 0.0498 0.0607 0.0738 0.0893 0.1075 
SCAT 0.0428 0.0416 0.0405 0.0395 0.0386 0.0376 0.0368 0.0359 0.0352 0.0344 0.0337 0.0330 0.0324 0.0317 0.0311 0.0306 0.0300 0.0295 0.0290 0.0285 0.0280 0.0275 0.0271 0.0267 0.0263 0.0259 0.0255 0.0251 0.0247 0.0244 
COS 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 
N_GROUP 1.3968 1.3915 1.3864 1.3816 1.3770 1.3726 1.3685 1.3647 1.3611 1.3577 1.3546 1.3517 1.3490 1.3466 1.3444 1.3424 1.3406 1.3390 1.3375 1.3362 1.3351 1.3340 1.3331 1.3322 1.3314 1.3306 1.3298 1.3289 1.3280 1.3270 
N_PHASE 1.3330 1.3310 1.3291 1.3274 1.3259 1.3245 1.3232 1.3220 1.3209 1.3199 1.3190 1.3181 1.3174 1.3166 1.3160 1.3154 1.3148 1.3143 1.3137 1.3133 1.3128 1.3124 1.3120 1.3116 1.3112 1.3108 1.3105 1.3102 1.3098 1.3095 
LAYER -600 -590
ABS 0.0067 0.0065 0.0062 0.0060 0.0059 0.0057 0.0056 0.0055 0.0054 0.0054 0.0054 0.0056 0.0058 0.0062 0.0068 0.0076 0.0087 0.0102 0.0121 0.0146 0.0179 0.0219 0.0269 0.0331 0.0406 0.0498 0.0607 0.0738 0.0893 0.1075 
SCAT 0.0429 0.0417 0.0407 0.0396 0.0387 0.0378 0.0369 0.0361 0.0353 0.0345 0.0338 0.0331 0.0325 0.0318 0.0312 0.0307 0.0301 0.0296 0.0291 0.0286 0.0281 0.0276 0.0272 0.0268 0.0263 0.0259 0.0256 0.0252 0.0248 0.0245 
COS 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 
N_GROUP 1.3968 1.3915 1.3864 1.3816 1.3770 1.3726 1.3685 1.3647 1.3611 1.3577 1.3546 1.3517 1.3490 1.3466 1.3444 1.3424 1.3406 1.3390 1.3375 1.3362 1.3351 1.3340 1.3331 1.3322 1.3314 1.3306 1.3298 1.3289 1.3280 1.3270 
N_PHASE 1.3330 1.3310 1.3291 1.3274 1.3259 1.3245 1.3232 1.3220 1.3209 1.3199 1.3190 1.3181 1.3174 1.3166 1.3160 1.3154 1.3148 1.3143 1.3137 1.3133 1.3128 1.3124 1.3120 1.3116 1.3112 1.3108 1.3105 1.3102 1.3098 1.3095 
LAYER -590 -580
ABS 0.0067 0.0065 0.0063 0.0061 0.0059 0.0057 0.0056 0.0055 0.0054 0.0054 0.0054 0.0056 0.0058 0.0062 0.0068 0.0076 0.0087 0.0102 0.0121 0.0147 0.0179 0.0219 0.0269 0.0331 0.0407 0.0498 0.0607 0.0738 0.0893 0.1075 
